"","tvhours","marital","age","race","income"
"18949",2,"Married",56,"White",NA
"18951",1,"Married",56,"White",NA
"18953",2,"Married",34,"White",NA
"18959",2,"Married",40,"White",16.02
"18960",0,"Not Married",25,"White",26.98
"18961",6,"Married",56,"White",23.21
"18964",2,"Married",51,"White",26.54
"18966",1,"Not Married",30,"Black",23.92
"18972",2,"Not Married",35,"White",18.74
"18973",1,"Married",57,"White",24.2
"18977",3,"Not Married",61,"White",22.94
"18982",4,"Not Married",38,"Other",28.13
"18983",0,"Not Married",31,"White",32.13
"18989",3,"Not Married",26,"White",28.13
"18992",3,"Not Married",30,"White",29.61
"18993",1,"Married",59,"White",44.14
"18994",2,"Married",32,"White",44.49
"18995",4,"Married",32,"Other",18.97
"18996",0,"Married",52,"White",16.75
"19000",1,"Married",51,"Other",29.98
"19001",1,"Not Married",24,"Black",18.9
"19004",2,"Not Married",56,"White",29.24
"19007",1,"Not Married",32,"Other",15.06
"19010",0,"Married",34,"Other",28.56
"19013",1,"Not Married",57,"White",18.99
"19018",2,"Married",51,"White",40.79
"19026",5,"Married",51,"Other",17.01
"19034",6,"Not Married",25,"White",28.4
"19036",2,"Not Married",45,"White",19.01
"19039",4,"Not Married",24,"White",24.63
"19041",2,"Not Married",26,"Black",20.37
"19046",4,"Not Married",43,"Black",28.66
"19047",1,"Not Married",32,"White",34.12
"19049",2,"Married",32,"White",37.34
"19051",2,"Married",41,"White",27.83
"19054",1,"Married",42,"White",19.33
"19057",3,"Not Married",26,"Other",15.8
"19058",0,"Married",29,"Other",38.28
"19061",1,"Not Married",35,"White",26.01
"19063",3,"Not Married",30,"Other",18.39
"19064",1,"Married",44,"Other",29.01
"19065",4,"Not Married",58,"White",15.62
"19074",2,"Not Married",29,"Black",20.91
"19077",1,"Married",53,"Black",22.5
"19078",3,"Not Married",54,"Black",8.2
"19081",1,"Not Married",30,"White",27.88
"19082",3,"Married",61,"White",23.91
"19084",2,"Married",41,"White",27.78
"19085",3,"Married",57,"Other",31.41
"19086",1,"Not Married",29,"White",24.17
"19088",2,"Not Married",21,"White",29.96
"19094",4,"Not Married",37,"Black",16.88
"19099",2,"Not Married",23,"Black",23.37
"19100",2,"Married",25,"Other",15.72
"19102",1,"Married",48,"White",36.68
"19107",3,"Not Married",45,"White",30.3
"19109",1,"Not Married",23,"White",15.33
"19121",2,"Not Married",46,"White",30.09
"19125",2,"Not Married",71,"White",31.19
"19126",4,"Not Married",37,"Other",25.99
"19129",7,"Not Married",46,"White",37.16
"19132",2,"Not Married",62,"White",21.71
"19134",4,"Not Married",48,"Black",26.36
"19137",5,"Not Married",35,"Black",28.04
"19140",0,"Not Married",36,"White",24.87
"19144",1,"Not Married",20,"Other",19.05
"19150",1,"Married",46,"Other",28.08
"19151",14,"Married",50,"White",24.58
"19152",2,"Not Married",34,"Other",14.27
"19154",1,"Married",35,"White",25.1
"19156",3,"Married",53,"White",24.96
"19159",2,"Married",38,"White",26.25
"19160",2,"Married",35,"White",36.53
"19165",1,"Not Married",41,"White",19.95
"19167",4,"Married",61,"Other",24.24
"19168",2,"Married",56,"White",17.1
"19170",1,"Not Married",24,"Other",17.74
"19171",2,"Married",69,"White",28.11
"19172",1,"Married",61,"White",26.17
"19177",3,"Not Married",69,"White",23.21
"19183",1,"Not Married",30,"White",27.04
"19187",2,"Not Married",51,"Other",23.9
"19188",4,"Married",61,"White",22.1
"19189",2,"Married",45,"White",18.74
"19194",1,"Not Married",41,"Other",28.81
"19196",2,"Married",58,"Other",18.46
"19197",3,"Married",72,"White",34.67
"19201",4,"Married",58,"White",25.96
"19202",1,"Married",50,"White",30.7
"19204",1,"Not Married",43,"White",15.02
"19215",1,"Married",46,"White",27.23
"19220",3,"Not Married",48,"Other",24.68
"19222",1,"Not Married",29,"White",37.04
"19224",0,"Not Married",29,"Black",32.3
"19225",4,"Not Married",50,"Black",21.81
"19227",0,"Married",30,"White",41.45
"19228",1,"Married",32,"White",16.81
"19232",0,"Not Married",26,"White",27.63
"19233",2,"Married",38,"White",28.22
